Book Name,Author,Rating,Customers_Rated,Price
Mathematics for Class 10 by R D Sharma (Examination 2021-22),R.D. Sharma,4.6 out of 5 stars,"2,167",₹447.00
Peppa Pig: Little Library,Peppa Pig,4.3 out of 5 stars,"14,124",₹198.00
Capital Letters ABC: Write and practice Capital Letters A to Z book for kids (Writing Fun),Wonder House Books,4.3 out of 5 stars,"1,231",₹42.00
Amazon Brand - Solimo Board Books for Kids (Set of 10),Solimo,4.5 out of 5 stars,"4,445",₹480.00
Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,Mahatma Gandhi,4.5 out of 5 stars,"3,330",₹99.00
Think & Grow Rich,Napoleon Hill,4.5 out of 5 stars,"50,673",₹97.00
"The Magic of the Lost Temple: Illustrated, easy to read and much-loved first full length children’s fiction novel by…",Sudha Murty,4.7 out of 5 stars,"2,935",₹145.00
Mandala: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book),Wonder House Books,4.5 out of 5 stars,"1,420",₹125.00
Mandala Art: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book),Wonder House Books,4.6 out of 5 stars,"1,476",₹125.00
"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.4 out of 5 stars,"13,002",₹247.00
All In One - Writing Book (Practice),Maple Press,4.4 out of 5 stars,"1,588",₹133.00
Harry Potter and the Philosopher's Stone,J.K. Rowling,4.7 out of 5 stars,"28,769",₹279.00
1001 Activities Book,Dreamland Publications,4.5 out of 5 stars,"4,817",₹315.00
India & World Map ( Both Political & Physical ) with Constitution of India Chart & History of India Chart | NON…,Vidya Chitr Prakashan,4.6 out of 5 stars,425,₹160.00
"Three Thousand Stitches: Ordinary People, Extraordinary Lives",Sudha Murty,4.6 out of 5 stars,"3,712",₹163.00
A Brief History of Modern India - 2020-21/edition,Rajiv Ahir,4.4 out of 5 stars,708,₹255.00
505 Activities for Kids,Dreamland Publications,4.4 out of 5 stars,"3,653",₹193.00
A Man Called Ove: The life-affirming bestseller that will brighten your day,Fredrik Backman,4.6 out of 5 stars,"27,553",₹256.00
You Can Coach,Siddharth Rajsekar,-1,0,₹950.00
"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book…",Maple Press,4.4 out of 5 stars,615,₹185.00
The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,4.6 out of 5 stars,"6,308",₹169.00
Hindi Sulekh - Varanmala - Handwriting Practice Workbook for Kids 3-6 Years Old,Maple Press,4.5 out of 5 stars,548,₹86.00
"Thinking, Fast and Slow (Penguin Press Non-Fiction)",Daniel Kahneman,4.4 out of 5 stars,"19,490",₹359.00
Mathematics for Class 11 (set of 2 volumes) Examination 2021-22: Vol. 2,R.D. Sharma,4.6 out of 5 stars,"1,040",₹600.00
Quiet: The power of introverts in a world that can't stop talking,Susan Cain,4.4 out of 5 stars,"13,465",₹290.00
Certificate Physical And Human Geography; Indian Edition,Goh Cheng Leong,4.5 out of 5 stars,"6,793",₹274.00
"NCERT BOOK , Hornbill Textbook in English ,Snapshots Supplementary Reader in English for Class-XI (Core Course) ,[COMBO…",NCERT,4.4 out of 5 stars,167,₹70.00
Mathematics for Class 9 by R D Sharma (Examination 2021-22),R.D. Sharma,4.6 out of 5 stars,"1,498",₹415.00
Objective NCERT at your Fingertips for NEET-AIIMS - Chemistry,MTG Editorial Board,4.5 out of 5 stars,"1,825",₹510.00
Metamorphosis,Franz Kafka,4.5 out of 5 stars,"3,459",₹69.00
