Movie,Director,Cast,Genre,Info
Amina,Christian Ashaiku,OC Ukeje  Omotola Jalade EkeindeWil JohnsonVan VickerVincent ReganAlison Carroll,Psychological drama,[4][5]
Feathered Dreams,Andrew Rozhen,Omoni Oboli  Evgeniy KazantsevAndrew Rozhen,Drama,This was also the first Ukrainian English-language feature film..[6]
Forgetting June,Ikechukwu Onyeka,Majid MichelBeverly NayaMbong Amata Blossom Chuks Chukwujekwu,Romantic drama,[1][2][3]
Broken,Bright Wonder Obasi,Nse Ikpe EtimBimbo ManuelKalu Ikeagwu,Drama,"6 nominations at the 2013 Nollywood Movies Awards including awards for Best lead actor, Best Supporting actor, Best Supporting Actress, Best Cinematography, Best Make-up and Best Rising star Female"
Murder at Prime Suites,Eneaji Chris Eneng,Joseph BenjaminChelsea EzeKeira Hewatch Okey Uzoeshi,Crime / thriller,Africa Magic Viewers Choice Awards nomination for Best Movie (drama) and Africa Movie Academy Awards nomination for Best Actor
Torn,Moses Inwang,Monalisa ChindaIreti DoyleJoseph Benjamin Tope TedelaJulius Agwu,Psychological thriller,5 nominations at 2013 Best of Nollywood Awards
A Mile from Home,Eric Aghimien,Tope TedelaChiedozie 'Sambasa' NzeribeAlex Ayalogu,Romantic drama,"2014 Africa Magic Viewers Choice Awards for Best Actor, Africa Movie Academy Award for Best Visual Effects and Africa Movie Academy Award for Most Promising Actor nomination"
Awakening,James OmokweEthan Okwara,OC UkejeKehinde BankoleFemi BrainardTope Tedela,Dark thriller,Africa Movie Academy Award for Best Visual Effects nomination
Half of a Yellow Sun,Biyi Bandele,Chiwetel EjioforThandie NewtonGenevieve NnajiOnyeka Onwenu Anika Noni Rose,Historical drama,[4]
Secret Room,Eneaji Chris Eneng,OC UkejeJide KosokoLinda Ejiofor Lilian Esoro,Thriller,
B for Boy,Chika Anadu,Uche NwadiliNgozi NwanetoNonso Odogwu,,
Accident,Teco Benson,Chioma ChukwukaKalu IkeagwuFrederick Leonard,Thriller,Africa Movie Academy Award for Best Nigerian Film
Gold Diggin,Rukky Sanda,Yvonne NelsonRukky SandaAlex Ekubo,Drama,
Lagos Cougars,Desmond Elliot,Monalisa ChindaUche JomboDaniella OkekeAlex Ekubo,Romantic drama,nominated 10th Africa Movie Academy Awards
House of Gold,Pascal Amanfo,Majid MichelYvonne NelsonOmawumiIce Prince,Romantic drama,8 nominations at the 2013 Golden Icons Academy Movie Awards
Flower Girl,Michelle Bello,Damilola AdegbiteChris AttohChuks ChukwujekwuEku Edewor,Romantic comedy,1 nomination at the 9th Africa Movie Academy Awards
Finding Mercy,Desmond Elliot,Rita DominicUti NwachukwuChioma ChukwukaTamara Eteimo,Drama,
Alan Poza,Charles Novia,OC UkejeBeverly NayaOkey UzoeshiBelinda EffahSylvia Oluchi,Romantic comedy,2 nominations at the 9th Africa Movie Academy Awards
Confusion Na Wa,Kenneth Gyang,Ramsey NoahOC UkejeAli Nuhu,Dark comedy,2 awards at the 9th Africa Movie Academy Awards
Doctor Bello,Tony Abulu,Isaiah WashingtonVivica A. FoxGenevieve NnajiJustus Esiri,Adventure,
One Night in Vegas,John Uche,Jimmy Jean-LouisJohn DumeloYvonne NelsonSarodj BertinVan VickerMichael Blackson,Comedy drama,[5][6][7]
Kamara's Tree,Desmond Elliot,Desmond ElliotLydia ForsonIvie OkujayeTessy AbubakarBobby ObodoGinnefine KanuMorris K Sesay,Comedy drama,[8]
Being Mrs Elliot,Omoni Oboli,Majid MichelOmoni OboliSylvia Oluchy Ayo Makun,Romantic comedy,"[1]</ref> It had its world premiere on 30 August 2014 at Silverbird Galleria, Victoria Island, Lagos and was released theatrically across Nigeria on 5 September.[2][3]"
Render to Caesar,Desmond Ovbiagele  Onyekachi Ejim,Gbenga AkinnagbeOmoni OboliWale Ojo Bimbo ManuelDede MabiakuKalu Ikeagwu,Crime drama,
Tunnel,Stanlee Ohikhuare,Nse Ikpe Etim  Femi JacobsWaje,Drama,
Iyore,Frank Rajah Arase,Rita Dominic  Bukky WrightJoseph Benjamin,Drama,10 nominations at 2014 Golden Icons Academy Movie Awards
Make a Move,Niyi Akinmolayan,Ivie Okujaye  Tina MbaBeverly NayaWale Adebayo,Dance / musical,
Knocking on Heaven's Door,Desmond Elliot,Majid Michel  Adesuwa Etomi Blossom ChukwujekwuIni Edo,Romantic drama / musical,
October 1,Kunle Afolayan,Sadiq Daba  Kehinde Bankole David BaileDeola Sagoe,Dark psychological thriller,
Brother's Keeper,Ikechukwu Onyeka,Majid Michel  Omoni Oboli Beverly NayaBarbara Soky,Thriller,Nominations at 10th Africa Movie Academy Awards
Dry,Stephanie Okereke,Stephanie Okereke  Liz Benson William McNamaraDarwin Shaw,Drama,
30 Days in Atlanta,Robert Peters,Ayo Makun  Vivica A. Fox Lynn WhitfieldKarlie Redd,Comedy,[4]
When Love Happens,Seyi Babatope,Weruche OpiaOC UkejeBeverly NayaOreka GodisGideon OkekeBukky WrightDesmond ElliotWale Ojo,Romantic comedy,
A Place in the Stars,Steve Gukas,Gideon OkekeSegun ArinzeMatilda ObasekiYemi BlaqFemi BranchDejumo Lewis,Thriller,
Champagne,Emem Isong,Majid MichelAlexx EkuboRosemary ZimuSusan PetersTana Adelana,Romantic thriller,[5][6]
