Name,Price
Professional Cardioid Condenser Microphone Kit With Audio,"<div class=""prc"">₦ 11,780</div>"
Professional Cardioid Condenser Microphone Kit With Audio,"<div class=""prc"">₦ 11,780</div>"
Sennheiser UHF Vocal Wireless Microphone System - XSW-75,"<div class=""prc"">₦ 30,000</div>"
Professional Pure Vocal Dynamic Wired Microphone Mike With 115ft Cord,"<div class=""prc"">₦ 4,782</div>"
"Neewer Neewer® 20ft/6M Universal 3-pin XLR Male To XLR Female Microphone Cable For Microphones Or Other Professional Recording, Mixing, And Lighting Equipments With 3 Pin XLR Connectors","<div class=""prc"">₦ 4,981</div>"
"15'' Public Address System With Bluetooth, MicroSD, USB, FM Functions And Two Wireless Microphone","<div class=""prc"">₦ 65,000</div>"
XLR Microphone Cable -  Balanced Mic Cable - Mixers 10Meter,"<div class=""prc"">₦ 5,900</div>"
Wireless Microphone System,"<div class=""prc"">₦ 23,500</div>"
Shure Professional Long Distance Wireless Microphone System With Dual Handheld Microphone,"<div class=""prc"">₦ 82,000</div>"
Portable 10-Channel Rechargeable Wireless Microphones UHF,"<div class=""prc"">₦ 30,130</div>"
Takstar BM-630USB Digital Boundary Microphone USB,"<div class=""prc"">₦ 19,520</div>"
BM-800 Condenser Microphone Portable High Sensitivity Low,"<div class=""prc"">₦ 11,440</div>"
Sennheiser UHF Vocal Wireless Microphone System - XSW-75,"<div class=""prc"">₦ 39,000</div>"
3.5mm TRRS Female To 8 Pin Male Live Microphone Audio Adapter Spring Coiled Cable For IPhone- 100cm(Black),"<div class=""prc"">₦ 9,200</div>"
"8'' Public Address System With Bluetooth, MicroSD, USB, FM Functions And Two Wireless Microphone","<div class=""prc"">₦ 36,950</div>"
Professional Pure Vocal Dynamic Wired Microphone Mike With 11.5ft Cord,"<div class=""prc"">₦ 5,300</div>"
Professional Pure Vocal Dynamic Wired Microphone Mike With 115ft Cord,"<div class=""prc"">₦ 5,028</div>"
3.5mm Stereo Jack To Din 5 Pin MIDI Plug Audio Adapter Cable- 1.5m,"<div class=""prc"">₦ 2,010</div>"
Shure Professional Long Distance Wireless Microphone System With Dual Handheld Microphone,"<div class=""prc"">₦ 64,000</div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
,"<div class=""prc""></div>"
Shure Professional Long Distance Wireless Microphone System With Dual Handheld Microphone,"<div class=""prc"">₦ 85,000</div>"
Handheld Wired Dynamic Microphone Mic XLR Cable 6.35mm Plug,"<div class=""prc"">₦ 7,000</div>"
AK-308 Professional Silver Wired/Wireless Dynamic Microphone For DJ,"<div class=""prc"">₦ 7,709</div>"
AK-308 Professional Silver Wired/Wireless Dynamic Microphone For DJ,"<div class=""prc"">₦ 8,565</div>"
High Quality Professional Wireless Microphone,"<div class=""prc"">₦ 65,000</div>"
"4 Channels Wireless Microphone With 4 Mics, 4 IN 1","<div class=""prc"">₦ 72,500</div>"
Ahuja Wireless Tie Microphone And Clip,"<div class=""prc"">₦ 4,100</div>"
BM-800 Condenser Microphone Portable High Sensitivity Low,"<div class=""prc"">₦ 16,000</div>"
Bnk 4 In 1 Wireless Conference Microphone BK-04,"<div class=""prc"">₦ 75,000</div>"
Lightweight Portable Wireless Headset Microphone UHF Mic,"<div class=""prc"">₦ 16,990</div>"
Dvon Professional Wireless Microphone,"<div class=""prc"">₦ 165,000</div>"
USB Conference Microphone Omnidirectional Computer,"<div class=""prc"">₦ 9,400</div>"
Wooden Guitar Bass Connection Cable Noise Reduction Audio Cable- 10m,"<div class=""prc"">₦ 5,420</div>"
8” Public Address System With Bluetooth & 2 Microphones,"<div class=""prc"">₦ 32,000</div>"
Wooden Guitar Bass Connection Cable Noise Reduction Audio Cable- 5m,"<div class=""prc"">₦ 3,440</div>"
Bnk Professional Long Distance Wireless Microphone System With Dual Handheld Microphone,"<div class=""prc"">₦ 55,000</div>"
Shure Professional Wireless Microphone With UHF Frequency & 500m Range Capacity,"<div class=""prc"">₦ 145,000</div>"
