Name,Price
Honeywell Semolina,302
Tasty Tom Tomato(sachet),53
Gino Pepper & Onion,53
Tasty cube chicken flavor,175
Sarah White Prawn cracker (227g),"1,000"
Ducrus curry power(25g),205
Grounded Achi,100
Grounded Ofor,100
Grounded Cocoyam,100
Tiger nut,100
Dry tiger nut,100
Benny powdered  chicken stock,50
Cocoyam,150
Yellow Garri,199
Ducros curry powder (25g),205
Thailand fish,405
One pack of 50cl Fanta Pet (12 in 1),"1,050"
1 pack of 50cl Coca Cola Pet (12 in 1),"1,050"
1 pack of 50cl Sprite Pet (12 in 1),"1,050"
Big Cola/Orange 65cl Pet (12 in 1),"1,050"
Cartoon of 33cl can Malta Guinness (24 in 1),"3,150"
Garri (White),170
Peppersoup Spice,100
Honeywell Semolina,302
Cartoon of 33cl can Dubic Malt (24 in 1),"2,750"
Pack of Amestle malt  330ml (12 in 1),"1,450"
pack of 33cl Maltina Pet (12 in 1),"1,450"
Cartoon of 33cl can Amestle Malt (24 in 1),"3,150"
Pack of 330ml Dubic Malt Pet (12 in 1),"1,350"
Water melon,100
1 pack of Ribena (125ml x 16),"1,085"
1 cartoon of Noreos biscuits (72 packets of 28g,"1,500"
1 cartoon of Parle-G biscuit (48 packets),900
Ayoola Poundo Yam flour: 0.9kg,"1,050"
Ayoola Poundo Yam flour (1.8kg),"1,900"
Mr Chef Fried rice seasoning (8g sachet),30
Nora Fried rice seasoning (10g sachet),59
Onga Classic (6g big sachet),138
Onga Stew (6g big sachet),137
Mr Chef Goat meat spices (8g sachet),30
Bottled Groundnut,"1,599"
Terra ginger and garlic paste (15g sachet),45
Hungry Jack Pancake & Waffle Mix,"2,500"
Uda,150
Garri (White),170
Peppersoup Spice,100
Honeywell Semolina,302
Ugba,198
Abacha (African Salad),299
Stock fish Tusk (Panla),68
Shredded Stock fish,589
Geisha Mackerel in tomato sauce 155g,250
Stock fish (Cut-cut),473
Costa Mackerel in Tomato sauce 155g,249
Exeter Corned Beef 340g,855
Exeter Corned Beef 200g,555
Goat meat,"1,698"
Chicken Gizzard,"1,599"
Ofada Rice,701
Garri (White),170
Peppersoup Spice,100
Honeywell Semolina,302
