Name,Price
YELLOW PEPPER (CAPSICUM) IMPORTED (250g),"₦5,200"
GREEN PEPPER (CAPSICUM) IMPORTED (250g),"₦5,200"
WHITE POTATOES KG,₦250
YAM MEDIUM,₦500
BROWN ONIONS PREMIUM KG,₦900
YAM LARGE,"₦1,300"
PINEAPPLE (LOCAL) PIECE,₦400
CABBAGE KG,₦700
APPLE RED  KG,"₦1,400"
CHERRY TOMATOES KG (250g),"₦2,000"
LEMON IMPORTED KG (1KG),"₦4,100"
HABANERO REDPEPPER,"₦1,750"
CHOCITO’S PREMIUM HAZLENUT SPREAD WITH COCOA 400G,₦990
CHOCITO’S HAZELNUT SPREAD 400G,₦910
MJ’S PURE HONEY 500G,"₦1,200"
PLANTAIN KG,₦950
BARON ROMERO 75CL,"₦1,600"
COOLCOW MILK TIN 900G,"₦2,800"
KAPTAIN READY STEWS MILD 1KG,"₦1,200"
KAPTAIN FULLY COOKED READY STEWS HOT POT 1KG,"₦1,200"
BAMA MAYONNAISE 236ML,₦950
HEINZ MAYONNAISE 940GMS,"₦1,470"
FESTIVAL CHOCOLATE BAG 403G,₦830
NESTLE PURE LIFE PROTECT WATER 60CL,₦75
DATES IMPORTED 500G,"₦1,350"
BLUE BUNNY PREM COOKIES AND CREAM 1.36/1.41 L,"₦7,600"
SOUR SOP KG,"₦1,850"
BLUE CHEESE KG,"₦16,800"
BLUE BERRY (KG),"₦2,250"
MERCI CHEF UNSALTED BUTTER 200G,"₦1,800"
PAPAYA LARGE,₦650
GREEN AND GRILL YOGHURT LEMON 300G,"₦1,550"
SYINIX 18″BLADES STANDING FAN FSS18N-502- STANDARD,"₦17,190"
SYINIX 18”STANDING FAN 90W MOSQUITO REPELLENT,"₦20,290"
SYINIX FRIDGE -FD120AF01(S) SILVER,"₦51,500"
LOYD GREEN TEA HONEY MELON & LEMON GRASS PY 34G,₦850
KALDI AFRICAN NATURAL COCOA POWDER 250GR,"₦1,150"
Edmark Red Yeast Coffee 20g,"₦3,250"
TWININGS GREEN TEA CHERRY & VANILLA 50G,"₦1,500"
LUNA EVAPORATED MILK 410G,₦450
HEALTHY HOUR FAT BURNER SLIM TEA 60G,"₦1,100"
TWININGS CAMOMILE & HONEY 40G,"₦1,400"
TWININGS CAMOMILE & SPICED APPLE 40G,"₦1,350"
TWININGS ENGLISH AFTERNOON TEA 50G,"₦2,400"
CADBURY DRINKING CHOCOLATE  500 GM,"₦2,600"
NAJJAR CLASSIC CAFE 200G,"₦1,900"
TWININGS CRANBERRY & RASPBERRY 40G,"₦1,500"
NESCAFE 3 IN 1 CLASSIC 20GX35,"₦4,500"
HEALTHY HOUR SUPER HERB SLIM TEA 100G,"₦1,500"
SOYFRESH SOY MILK MALT 250ML,₦370
CADBURY DRINKING CHOCOLATE 250 GM,"₦1,250"
OVALTINE SACHET 800G,"₦2,250"
LEGEND GREEN TEA & POMEGRANATE 40G,₦800
TWININGS ENGLISH BREAKFAST 50 TEABAGS,"₦2,400"
LEGEND GINGER TEA WITH HONEY 180G,₦800
LEGEND GINGER TEA WITH LEMON 180G,₦800
