Name,Price
Sombo Pepper-Grade A...,"₦32,000.00"
Ofada Rice (50kg),"₦50,000.00"
Coconut - small (doz...,"₦3,500.00"
Spring onion (bunch),₦875.00
Lettuce (15kg),"₦18,300.00"
Pineapple - big (doz...,"₦12,000.00"
Beans Olotu (50kg),"₦37,500.00"
Beans Oloyin - Origi...,"₦37,000.00"
Ofada Rice (25kg),"₦25,000.00"
Al Hamsad Rice (50kg...,"₦24,500.00"
Ofada Rice - local (...,"₦25,000.00"
Dry Pepper (full bag...,"₦27,000.00"
Broccoli Medium (Per...,"₦1,300.00"
Ofada Rice (50kg),"₦50,000.00"
Sombo Pepper-Grade A...,"₦32,000.00"
Ofada Rice (50kg),"₦50,000.00"
Garri ijebu (50kg),"₦25,000.00"
Irish Potato (5kg),"₦3,250.00"
Goat meat (2kg),"₦6,000.00"
Beans Oloyin (paint ...,"₦2,850.00"
Tomato-grade A(25kg),"₦17,500.00"
Onions (old) - dry (...,"₦15,000.00"
Tomato-grade A(50kg),"₦35,000.00"
Ata rodo-Red Pepper ...,"₦41,250.00"
Sombo Pepper-Grade A...,"₦32,000.00"
Ofada Rice (50kg),"₦50,000.00"
Garri ijebu (50kg),"₦25,000.00"
Garri ijebu (50kg),"₦25,000.00"
Guinea Corn - white ...,"₦22,000.00"
Bambara Nut (100kg),"₦45,500.00"
Guinea Corn - red (5...,"₦15,500.00"
Titus (10kg),"₦18,500.00"
Wheat (50Kg),"₦14,000.00"
Corn white (100kg),"₦35,500.00"
Black Seed (1kg),"₦3,500.00"
Egusi Melon - Hand P...,"₦45,350.00"
Egusi Melon - Machin...,"₦72,115.00"
Dry Pepper (1/3 bag),"₦9,000.00"
Lafun - Dried Cassav...,"₦5,000.00"
Garri ijebu (50kg),"₦25,000.00"
Irish Potato (5kg),"₦3,250.00"
Goat meat (2kg),"₦6,000.00"
Beans Oloyin (paint ...,"₦2,850.00"
Tomato-grade A(25kg),"₦17,500.00"
Onions (old) - dry (...,"₦15,000.00"
Tomato-grade A(50kg),"₦35,000.00"
Ata rodo-Red Pepper ...,"₦41,250.00"
Sombo Pepper-Grade A...,"₦32,000.00"
Ofada Rice (50kg),"₦50,000.00"
Garri Yellow (40kg),"₦16,500.00"
Garri Bendel - white...,"₦12,500.00"
Irish Potato (5kg),"₦3,250.00"
Irish Potato (25kg),"₦16,250.00"
Beans Olotu (100kg),"₦75,000.00"
Goat meat (2kg),"₦6,000.00"
Smoked Catfish-nativ...,"₦30,000.00"
Black Pepper (1kg),"₦3,500.00"
Zobo (bag),"₦9,000.00"
Ehuru (per pack),"₦2,500.00"
Suya pepper (3kg),"₦5,750.00"
Cinnamon roll,"₦6,500.00"
Tomato-grade A(25kg),"₦17,500.00"
Onions (old) - dry (...,"₦15,000.00"
Tomato-grade A(50kg),"₦35,000.00"
Ata rodo-Red Pepper ...,"₦41,250.00"
Sombo Pepper-Grade A...,"₦32,000.00"
Ofada Rice (50kg),"₦50,000.00"
Garri ijebu (50kg),"₦25,000.00"
Irish Potato (5kg),"₦3,250.00"
Goat meat (2kg),"₦6,000.00"
Beans Oloyin (paint ...,"₦2,850.00"
Tomato-grade A(25kg),"₦17,500.00"
Onions (old) - dry (...,"₦15,000.00"
Tomato-grade A(50kg),"₦35,000.00"
Benue Ogoja Yam - bi...,"₦185,000.00"
Benue Ogoja Yam - me...,"₦75,000.00"
Benue Ogoja Yam - me...,"₦150,000.00"
Beans Oloyin (paint ...,"₦2,850.00"
Iron /White Beans (1...,"₦60,000.00"
Dry Pepper - small (...,"₦2,500.00"
Beet Root (50kg),"₦38,500.00"
Beet Root (25kg),"₦19,650.00"
Ginger (paint bucket...,"₦2,500.00"
Millet (90kg),"₦31,950.00"
Cabbage - Unpeeled(5...,"₦14,000.00"
Egusi Melon - Hand P...,"₦28,350.00"
Tomato-grade A(25kg),"₦17,500.00"
Onions (old) - dry (...,"₦15,000.00"
Tomato-grade A(50kg),"₦35,000.00"
Ata rodo-Red Pepper ...,"₦41,250.00"
Sombo Pepper-Grade A...,"₦32,000.00"
Ofada Rice (50kg),"₦50,000.00"
Garri ijebu (50kg),"₦25,000.00"
Irish Potato (5kg),"₦3,250.00"
Goat meat (2kg),"₦6,000.00"
Beans Oloyin (paint ...,"₦2,850.00"
Ogbono - Coutonu 2kg,"₦12,250.00"
Tomato-grade A(25kg),"₦17,500.00"
Carrot - unwashed (4...,"₦26,000.00"
Corn Yellow (100kg),"₦35,500.00"
Onions (old)  - dry ...,"₦7,500.00"
Onions - dry (10kg),"₦3,000.00"
Sombo Pepper-Grade B...,"₦30,000.00"
Ata rodo - Red Peppe...,"₦20,625.00"
Ata rodo-Red Pepper ...,"₦38,125.00"
Tatase-grade A(12.5k...,"₦22,500.00"
Tatase-grade A(6.25k...,"₦11,250.00"
Green Ata rodo (10kg...,"₦23,000.00"
Goat meat (2kg),"₦6,000.00"
Beans Oloyin (paint ...,"₦2,850.00"
Tomato-grade A(25kg),"₦17,500.00"
Onions (old) - dry (...,"₦15,000.00"
Tomato-grade A(50kg),"₦35,000.00"
Ata rodo-Red Pepper ...,"₦41,250.00"
Sombo Pepper-Grade A...,"₦32,000.00"
Ofada Rice (50kg),"₦50,000.00"
Garri ijebu (50kg),"₦25,000.00"
Irish Potato (5kg),"₦3,250.00"
Ram meat (2.5kg),"₦7,550.00"
Ram meat (5kg),"₦14,000.00"
Old layer Chicken (w...,"₦3,000.00"
Cow Beef with bone (...,"₦3,000.00"
Titus Fish (kg),"₦1,850.00"
Parsley leaf (per pa...,"₦1,000.00"
Watermelon - big (do...,"₦15,000.00"
Crayfish (derica),"₦1,400.00"
Celery (bunch),₦440.00
White Onions (50Kg),"₦15,000.00"
Sweet Potato (100kg),"₦24,000.00"
Smoked Catfish-Agric...,"₦7,500.00"
Garri ijebu (50kg),"₦25,000.00"
Irish Potato (5kg),"₦3,250.00"
