Name,Price
CHI SMOKED CHICKEN 1.1kg,"₦1,890.00"
CHICKEN GIZARD - FROZEN 1kg,"₦2,500.00"
CHIPEES CORN FLAKES 350g,₦680.00
"CHIVITA ACTIVE JUICE VEGETABLE FRUIT NECTAR , BETROOT-GRAPE 1L",₦360.00
CHIVITA EXOCTIC JUICE TROPICAL COCONUT NECTAR 1LITRE,₦375.00
"CHIVITA EXOCTIC JUICE, MULTIFRUTA NECTAR (1litre) [10]",₦375.00
"CHIVITA EXOCTIC JUICE,ORANGE PEACH NECTAR 1litre",₦330.00
"CHIVITA EXOTIC JUICE , ORANGE COCONUT NECTAR 1Litre",₦375.00
"CHIVITA EXOTIC JUICE, MANGO NECTAR 1Litre",₦375.00
"CHIVITA EXOTIC JUICE, TROPICAL COCONUT NECTAR 1Litre",₦375.00
"CHIVITA PREMIUM JUICE, ORANGE AND MANGO 1Litre",₦415.00
"CHIVITA PREMIUM JUICE, PINEAPLE 1L",₦400.00
COCONUT,₦250.00
COLCAFE GRANULATED 50g,₦695.00
COMPLAN ORIGINAL 450g,"₦2,500.00"
COMPLAN ORIGINAL TIN 400g,"₦4,000.00"
COW & GATE APPLE CRUMBLE 7 MONTHS+ 200g,₦700.00
COW & GATE BABY BALANCE MY FIRST BOLOGNESE 4-6 MONTHS+,₦600.00
COW & GATE CARROT & LAMB HOTPOT 4-6 MONTHS+ 125g,₦600.00
COW & GATE CAULIFLOWER CHEESE 4-6 MONTHS+ 125g,₦560.00
COW & GATE CREAMY CARROT & POTATO 4-6 MONTHS+ 125g,₦600.00
COW & GATE DELICIOUS PEACH & APPLE 4-6 MONTHS+ 125g,₦600.00
COW & GATE GARDEN PEA & TURKEY PIE 7 MONTHS+ 200g,₦700.00
COW & GATE MINI BEEF CASSEROLE 4-6 MONTHS+ 125g,₦600.00
COW & GATE NUTRIJUNIOR GROWING UP 3 1-3 YEARS 400g,"₦2,300.00"
COW & GATE NUTRISTART INFANT FORMULA 1 0-6 MONTHS+ 400g,"₦2,300.00"
COW & GATE ORCHARD APRICOT & APPLE 4-6 MONTHS+ 125g,₦600.00
COW & GATE SCRUMMY SPAGHETTI BOLOGNESE 7 MONTHS+ 200g,₦680.00
COW & GATE SPAGHETTI BOLOGNESE 10 MONTHS+ 250g,₦940.00
COW & GATE SUNDAY LUNCH WITH VEGGIES & CHICKEN 10 MONTHS+ 230g,"₦1,450.00"
COW & GATE TASTY APPLE & BLUEBERRY 4-6 MONTHS 125g,₦600.00
COW & GATE TASTY APPLE & ORANGE 4-6 MONTHS 125g,₦600.00
COW & GATE VEGGIE & TURKEY RISOTTO 10 MONTHS+ 250g,₦920.00
COW & GATE YUMMY HARVEST CHICKEN 7 MONTHS+ 200g,₦700.00
COWBELL,"₦1,755.00"
COWBELL COFFEE MILK DRINK 20g x 10,₦350.00
COWBELL INSTANT FILLED MILK POWDER CHOCOLATE 550g,₦775.00
COWBELL TINA FOLLOW-UP FORMULA 2 6-12 MONTHS 400g,"₦1,765.00"
CRAYFISH - Whole 2kg,"₦2,500.00"
CROAKER - FROZEN 1kg,"₦2,999.00"
CUCUMBER PER PIECE,₦100.00
DANGOTE MARCARONI,₦270.00
DANGOTE REFINED GRANULATED WHITE SUGAR 1kg,₦500.00
DANGOTE SALT 1kg,₦135.00
DANGOTE SPAGHETTI,₦250.00
DANLADI TIGER NUT FLOUR 500g,"₦2,150.00"
DANO COOL COW MILK 400g,₦980.00
DE RICA TOMATO PASTE SATCHET 7Og,₦60.00
DE RICA TOMATO PASTE TIN 400g,₦500.00
DE RICA TOMATO PASTE TIN 850g,₦840.00
DOLAIT PINEAPLE 125g x 4,₦870.00
DOLAIT STRAWBERRY 125g x4,₦870.00
DOLAIT YOGHURT APRICOT 500g,₦800.00
DOLAIT YOGHURT COCKTAIL 500g,₦800.00
DOLAIT YOGHURT NATURE 500g,₦800.00
DOLAIT YOGHURT VANILLA 500g,₦800.00
DOUBLE T OFADA RICE 1KG,"₦2,000.00"
DOUBLE T ORIGINAL OFADA RICE 500g,₦530.00
DOUWE EGBERT'S MEDIUM ROAST PURE GOLD 95g,"₦2,190.00"
DRIED BAY LAEVES,₦150.00
DUCROS CURRY POWDER 25g,₦170.00
DUCROS THYME LEAVES 25g,₦175.00
EARTH'S BEST ORGANIC WHOLE GRAIN OATMEAL CEREAL 227g,"₦2,700.00"
EARTH'S BEST ORGANIC WHOLE GRAIN RICE CEREAL 227g,"₦2,700.00"
EDIKAIKONG SOUP BUNDLE,"₦5,700.00"
EFO TETE (African Spinach),₦100.00
EFO-RIRO BUNDLE (Essentials),"₦5,500.00"
EGG PLANT,₦250.00
EGUSI (Blended),₦200.00
EGUSI (Blended) 160g,₦600.00
