Movie,Year,RunTime,imdb,Genre,votes
Jojo Rabbit,2019,108 minutes,7.9,"Comedy, Drama, War",323504
The Dark Knight Rises,2012,164 minutes,8.4,"Action, Adventure",1550971
Little Women,2019,135 minutes,7.8,"Drama, Romance",156099
Ford v Ferrari,2019,152 minutes,8.1,"Action, Biography, Drama",317829
Avatar,2009,162 minutes,7.8,"Action, Adventure, Fantasy",1139193
Taxi Driver,1976,114 minutes,8.3,"Crime, Drama",744469
Dunkirk,2017,106 minutes,7.8,"Action, Drama, History",577495
Iron Man,2008,126 minutes,7.9,"Action, Adventure, Sci-Fi",963080
Snatch,2000,104 minutes,8.3,"Comedy, Crime",797350
Wonder,2017,113 minutes,8.0,"Drama, Family",148298
Jaws,1975,124 minutes,8.0,"Adventure, Thriller",552489
American Psycho,2000,101 minutes,7.6,"Comedy, Crime, Drama",510347
Spider-Man: Into the Spider-Verse,2018,117 minutes,8.4,"Animation, Action, Adventure",405163
Sicario,2015,121 minutes,7.6,"Action, Crime, Drama",383415
Ex Machina,2014,108 minutes,7.7,"Drama, Sci-Fi, Thriller",488900
The Prestige,2006,130 minutes,8.5,"Drama, Mystery, Sci-Fi",1220853
Ghostbusters,1984,105 minutes,7.8,"Action, Comedy, Fantasy",363288
The Lord of the Rings: The Return of the King,2003,201 minutes,8.9,"Action, Adventure, Drama",1678554
Oldeuboi,2003,120 minutes,8.4,"Action, Drama, Mystery",529438
Heat,1995,170 minutes,8.2,"Crime, Drama, Thriller",592708
Get Out,2017,104 minutes,7.7,"Horror, Mystery, Thriller",512449
Boogie Nights,1997,155 minutes,7.9,Drama,244454
Aliens,1986,137 minutes,8.3,"Action, Adventure, Sci-Fi",665176
The Irishman,2019,209 minutes,7.8,"Biography, Crime, Drama",340738
Eternal Sunshine of the Spotless Mind,2004,108 minutes,8.3,"Drama, Romance, Sci-Fi",931112
Requiem for a Dream,2000,102 minutes,8.3,Drama,782584
Brokeback Mountain,2005,134 minutes,7.7,"Drama, Romance",331699
