Rank,Title,Year,Domestic Gross (₦),Studio(s),Director(s)
70,Introducing the Kujus,2020,"27,962,800[16]",TMPL Motion Pictures,Biodun Stephens
71,Knock Out,2019,"27,001,330[12]",MJO Productions,Frank Raja
72,Fine Wine,2021,"26,715,100[45]",Nevada Bridge Productions,Seyi Babatope
73,The Therapist,2021,"26,534,840[46]",Hedge Production,Kayode Kasum
74,Small Chops,2020,"24,924,700[8]",Flip Script Entertainment and Film One Entertainment,Robert O. Peters
75,Kambili: The Whole 30 Yards,2020,"24,839,394[47]",FilmOne Entertainment,Kayode Kasum
76,The Razz Guy,2021,"24,167,000[36]",Trino Motion Pictures,Udoka Oyeka
77,Survival of Jelili,2019,"23,703,016[48]",J5 Media Network,Desmond Elliot
78,Weekend Getaway,2012,"22,895,200[43]",Royal Arts Academy,Desmond Elliot
79,Taxi Driver: Oko Ashewo,2015,"22,630,000[41]",FilmOne / House 5 / Orbit Imagery,Daniel Oriahi
80,Kasanova,2019,"22,509,000[49]",Film one distribution,Oluseyi Asurf
81,Lionheart,2018,"21,319,102[50]",The Entertainment Network (T.E.N),Genevieve Nnaji
82,Hire a woman,2019,"20,863,135[12]",FilmOne,Ifeanyi Ikpoenyi
83,La Femme Anjola,2021,"20,702,270[51]",The Audrey Silva Company (TASC),Mildred Okwo
84,The Millions,2019,"19,314,595[12]",Chika Lann Prouction,Tunde ApalowoToka Mcbaror
85,The First Lady,2015,"19,000,000[41]",Dioni Visions,Omoni Oboli
86,The Call,2019,"18,293,005[52]",,James Abinibi[53]
87,2 weeks in Lagos,2021,"18,211,210[54]",Balminglead movie Productions Limited,Kathryn Fesegha
88,Anchor Baby,2010,"18,000,000[55]",Alpha Galore Films,Lonzo Nzekwe
88,The Mirror Boy,2011,"18,000,000[55]",The Nollywood Factory / OH Films,Obi Emelonye
90,Tanwa Savage,2021,"17,307,450[54]",Royal Heritage Entertainment & Guguru Studios,Geshin Salvador
91,House of Gold,2013,"15,454,400[43]",Media GH / YN Productions / Pascal Amanfo Expression,Pascal Amanfo
92,Tempting Fate,2015,"15,000,000[41]",KevStel Group Productions,Kevin Nwankwor
93,Coming from Insanity,2019,"14,127,683[56]",The Movement Pro,Akinyemi Sebastian
94,The Visit,2015,"14,000,000[41]",Koga Studios,Funke Fayoyin
95,Dazzling Mirage,2015,"13,000,000[41]",Mainframe Studios,Tunde Kelani
95,Through the Glass,2008,"13,000,000[38]",Next Page Productions,Stephanie Okereke
97,Makete Must Sell,2019,"12,167,000[57]",Ahhh!!! Entertainment,Don Omope
98,Maami,2011,"11,928,600[39]",Mainframe Studios,Tunde Kelani
99,Contract,2012,"11,447,600[43]",Sparrow Productions,Shirley Frimpong-Manso
100,Light In The Dark[58],2019,"11,180,805[59]",Bukana Motion Pictures,Ekene Som Mekwunye
